antecedents_str,consequents_str,support,confidence,lift
Salted Butter,Organic Classic Rich Crackers,0.018867924528301886,1.0,53.0
Organic Classic Rich Crackers,Salted Butter,0.018867924528301886,1.0,53.0
Organic Large Extra Fancy Fuji Apple,Michigan Organic Kale,0.018867924528301886,1.0,53.0
Vitamin D Milk,Fresh Whole White Mushrooms,0.018867924528301886,1.0,53.0
Fresh Whole White Mushrooms,Vitamin D Milk,0.018867924528301886,1.0,53.0
Organic Blueberries,Thin Sliced Colby Jack Cheese,0.018867924528301886,1.0,53.0
Thin Sliced Colby Jack Cheese,Organic Blueberries,0.018867924528301886,1.0,53.0
Salted Sweet Cream Butter,2% Reduced Fat DHA Omega-3 Reduced Fat Milk,0.018867924528301886,1.0,53.0
2% Reduced Fat DHA Omega-3 Reduced Fat Milk,Salted Sweet Cream Butter,0.018867924528301886,1.0,53.0
Salted Caramel Greek Nonfat Yogurt,Large Yellow Flesh Nectarine,0.018867924528301886,1.0,53.0
Large Yellow Flesh Nectarine,Salted Caramel Greek Nonfat Yogurt,0.018867924528301886,1.0,53.0
Whole Chia Seeds,Unsalted Butter,0.018867924528301886,1.0,53.0
Bag of Organic Bananas,Tempt Unsweetened Original Hemp Milk,0.018867924528301886,1.0,53.0
Russet Potato,Sea Salt Pita Chips,0.018867924528301886,1.0,53.0
Sea Salt Pita Chips,Russet Potato,0.018867924528301886,1.0,53.0
Unsalted Butter,Whole Chia Seeds,0.018867924528301886,1.0,53.0
Organic Avocado,Organic Lemon,0.018867924528301886,1.0,26.5
Organic Lemon,Organic Avocado,0.018867924528301886,0.5,26.5
Organic Rosemary,Organic Lacinato (Dinosaur) Kale,0.018867924528301886,1.0,26.5
Large Lemon,"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry",0.018867924528301886,0.5,26.5
Organic Lacinato (Dinosaur) Kale,Organic Rosemary,0.018867924528301886,0.5,26.5
Classic Round Crackers,Organic Cilantro,0.018867924528301886,1.0,26.5
Organic Cucumber,Organic Bosc Pear,0.018867924528301886,0.5,26.5
Organic Cilantro,Classic Round Crackers,0.018867924528301886,0.5,26.5
Organic Bosc Pear,Organic Cucumber,0.018867924528301886,1.0,26.5
Organic Strawberries,Feta Cheese Crumbles,0.018867924528301886,0.5,26.5
Organic Cilantro,Organic Sliced White Mushrooms,0.018867924528301886,0.5,26.5
Organic Lemon,Total 0% with Honey Nonfat Greek Strained Yogurt,0.018867924528301886,0.5,26.5
Organic Baby Kale,Organic Baby Carrots,0.018867924528301886,1.0,26.5
Organic Baby Carrots,Organic Baby Kale,0.018867924528301886,0.5,26.5
Organic Braeburn Apple,Organic Baby Carrots,0.018867924528301886,1.0,26.5
Total 0% with Honey Nonfat Greek Strained Yogurt,Organic Lemon,0.018867924528301886,1.0,26.5
Organic Baby Carrots,Organic Braeburn Apple,0.018867924528301886,0.5,26.5
Feta Cheese Crumbles,Organic Strawberries,0.018867924528301886,1.0,26.5
Organic Sliced White Mushrooms,Organic Cilantro,0.018867924528301886,1.0,26.5
Cream Cheese Spread,Organic Cucumber,0.018867924528301886,1.0,26.5
"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry",Large Lemon,0.018867924528301886,1.0,26.5
Large Lemon,Nonfat Probiotic Drinks,0.018867924528301886,0.5,26.5
Nonfat Probiotic Drinks,Large Lemon,0.018867924528301886,1.0,26.5
Organic Cucumber,Cream Cheese Spread,0.018867924528301886,0.5,26.5
Limes,"Organic Snack Mix Bunnies Snack Mix, Organic",0.018867924528301886,0.3333333333333333,17.666666666666668
Limes,Apple Honeycrisp Organic,0.018867924528301886,0.3333333333333333,17.666666666666668
"Organic Snack Mix Bunnies Snack Mix, Organic",Limes,0.018867924528301886,1.0,17.666666666666668
Limes,Golden Delicious Apple,0.018867924528301886,0.3333333333333333,17.666666666666668
Golden Delicious Apple,Limes,0.018867924528301886,1.0,17.666666666666668
Apple Honeycrisp Organic,Limes,0.018867924528301886,1.0,17.666666666666668
Organic Hass Avocado,Organic Strawberries,0.018867924528301886,0.5,13.25
Organic Lacinato (Dinosaur) Kale,Organic Hass Avocado,0.018867924528301886,0.5,13.25
Organic Strawberries,Organic Hass Avocado,0.018867924528301886,0.5,13.25
Organic Hass Avocado,Organic Lacinato (Dinosaur) Kale,0.018867924528301886,0.5,13.25
Dairy Alternative Vegan Sour Cream,Banana,0.018867924528301886,1.0,7.571428571428571
Tommy/Kent/Keitt/Haden Mango,Banana,0.018867924528301886,1.0,7.571428571428571
Organic Whole Milk,Banana,0.018867924528301886,1.0,7.571428571428571
Organic Carrot Bunch,Banana,0.018867924528301886,1.0,7.571428571428571
Half & Half,Banana,0.018867924528301886,1.0,7.571428571428571
Honeycrisp Apple,Banana,0.018867924528301886,1.0,7.571428571428571
Danimals Drinkable Yogurt Smoothie Strawberry Explosion & Strikin' Strawberry Kiwi,Banana,0.018867924528301886,1.0,7.571428571428571
