product_name,department,aisle,frequency,reorder_rate_pct
"Clementines, Bag",produce,packaged vegetables fruits,39825,60.3
Orange Bell Pepper,produce,fresh vegetables,39188,60.2
Grape White/Green Seedless,produce,fresh fruits,38971,66.6
Organic Broccoli,produce,fresh vegetables,38720,71.4
Organic Black Beans,canned goods,canned meals beans,38001,58.8
100% Raw Coconut Water,beverages,refrigerated,37973,78.8
Organic Bartlett Pear,produce,fresh fruits,37706,70.8
2% Reduced Fat Milk,dairy eggs,milk,37091,77.6
Garlic,produce,fresh vegetables,36617,58.7
Shredded Parmesan,dairy eggs,packaged cheese,36365,64.3
Granny Smith Apples,produce,fresh fruits,36187,65.0
Organic Carrot Bunch,produce,fresh vegetables,35820,58.0
Soda,beverages,soft drinks,35791,77.6
Unsalted Butter,dairy eggs,butter,35667,55.6
Organic Reduced Fat Milk,dairy eggs,milk,35663,85.1
Whole Milk,dairy eggs,milk,35633,77.9
Bartlett Pears,produce,fresh fruits,35413,65.0
Organic Romaine Lettuce,produce,fresh vegetables,34874,61.8
Unsweetened Original Almond Breeze Almond Milk,dairy eggs,soy lactosefree,34583,71.4
Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,dairy eggs,packaged cheese,34209,73.2
Pure Irish Butter,dairy eggs,butter,33908,65.7
Organic Broccoli Florets,frozen,frozen produce,32887,65.2
Sparkling Lemon Water,beverages,water seltzer sparkling water,32788,74.4
